MaterialData (MaterialNumber, MaterialType, E, nu, density, max. principal stress limit for element deletion) 
       1       HookesMat    2.10000e+011    3.000e-01 	8.00000e+03    5.0e+15
Mesh Parameters: (Total-number-of-Nodes Total-number-of-Elements, Simulation start time, Simulation End Time, dt, Impulse start time, Impulse end time, newmark-gamma, newmark-beta)
      525     1920    0		2e-2	5e-05	0	2e-02	0.5     0
Nodal Coordinates (x,y,z) 
15	-1	-2
15	-1	-1
15	-1	0
15	-1	1
15	-1	2
15	0	-2
15	0	-1
15	0	0
15	0	1
15	0	2
15	1	-2
15	1	-1
15	1	0
15	1	1
15	1	2
15	2	-2
15	2	-1
15	2	0
15	2	1
15	2	2
16	-2	-2
16	-2	-1
16	-2	0
16	-2	1
16	-2	2
16	-1	-2
16	-1	-1
16	-1	0
16	-1	1
16	-1	2
16	0	-2
16	0	-1
16	0	0
16	0	1
16	0	2
16	1	-2
16	1	-1
16	1	0
16	1	1
16	1	2
16	2	-2
16	2	-1
16	2	0
16	2	1
16	2	2
17	-2	-2
17	-2	-1
17	-2	0
17	-2	1
17	-2	2
17	-1	-2
17	-1	-1
17	-1	0
17	-1	1
17	-1	2
17	0	-2
17	0	-1
17	0	0
17	0	1
17	0	2
17	1	-2
17	1	-1
17	1	0
17	1	1
17	1	2
17	2	-2
17	2	-1
17	2	0
17	2	1
17	2	2
18	-2	-2
18	-2	-1
18	-2	0
18	-2	1
18	-2	2
18	-1	-2
18	-1	-1
18	-1	0
18	-1	1
18	-1	2
18	0	-2
18	0	-1
18	0	0
18	0	1
18	0	2
18	1	-2
18	1	-1
18	1	0
18	1	1
18	1	2
18	2	-2
18	2	-1
18	2	0
18	2	1
18	2	2
19	-2	-2
19	-2	-1
19	-2	0
19	-2	1
19	-2	2
19	-1	-2
19	-1	-1
19	-1	0
19	-1	1
19	-1	2
19	0	-2
19	0	-1
19	0	0
19	0	1
19	0	2
19	1	-2
19	1	-1
19	1	0
19	1	1
19	1	2
19	2	-2
19	2	-1
19	2	0
19	2	1
19	2	2
20	-2	-2
20	-2	-1
20	-2	0
20	-2	1
20	-2	2
20	-1	-2
20	-1	-1
20	-1	0
20	-1	1
20	-1	2
20	0	-2
20	0	-1
20	0	0
20	0	1
20	0	2
20	1	-2
20	1	-1
20	1	0
20	1	1
20	1	2
20	2	-2
20	2	-1
20	2	0
20	2	1
20	2	2
Element Connectivities (ElementNumber, Type, MaterialNumber, bx, by, Connectivity: (Node1, Node2, Node3 ... )) 
1	T4	1	0	0	0	282	277	257	281
2	T4	1	0	0	0	190	215	210	214
3	T4	1	0	0	0	323	299	298	318
4	T4	1	0	0	0	353	358	357	333
5	T4	1	0	0	0	445	440	420	444
6	T4	1	0	0	0	189	184	165	164
7	T4	1	0	0	0	144	139	140	120
8	T4	1	0	0	0	9	33	34	29
9	T4	1	0	0	0	236	232	237	212
10	T4	1	0	0	0	8	33	13	9
11	T4	1	0	0	0	491	496	472	492
12	T4	1	0	0	0	240	220	244	239
13	T4	1	0	0	0	133	128	132	152
14	T4	1	0	0	0	83	82	102	78
15	T4	1	0	0	0	130	135	155	154
16	T4	1	0	0	0	128	127	132	152
17	T4	1	0	0	0	488	483	464	463
18	T4	1	0	0	0	384	388	408	383
19	T4	1	0	0	0	218	243	242	223
20	T4	1	0	0	0	74	70	69	94
21	T4	1	0	0	0	63	43	44	68
22	T4	1	0	0	0	209	214	233	213
23	T4	1	0	0	0	209	184	204	185
24	T4	1	0	0	0	291	272	267	292
25	T4	1	0	0	0	69	50	49	45
26	T4	1	0	0	0	217	213	212	237
27	T4	1	0	0	0	304	284	303	279
28	T4	1	0	0	0	145	125	144	120
29	T4	1	0	0	0	137	133	138	113
30	T4	1	0	0	0	57	33	52	53
31	T4	1	0	0	0	108	103	107	127
32	T4	1	0	0	0	165	140	164	160
33	T4	1	0	0	0	201	182	202	206
34	T4	1	0	0	0	119	124	99	100
35	T4	1	0	0	0	241	222	242	246
36	T4	1	0	0	0	7	6	26	2
37	T4	1	0	0	0	28	32	27	8
38	T4	1	0	0	0	193	213	212	217
39	T4	1	0	0	0	138	118	114	119
40	T4	1	0	0	0	131	156	132	151
41	T4	1	0	0	0	232	227	231	251
42	T4	1	0	0	0	38	37	13	18
43	T4	1	0	0	0	182	207	183	202
44	T4	1	0	0	0	165	185	160	184
45	T4	1	0	0	0	65	70	69	45
46	T4	1	0	0	0	157	132	137	156
47	T4	1	0	0	0	206	187	211	186
48	T4	1	0	0	0	239	219	238	214
49	T4	1	0	0	0	388	387	368	392
50	T4	1	0	0	0	336	332	312	331
51	T4	1	0	0	0	177	182	202	201
52	T4	1	0	0	0	226	202	207	206
53	T4	1	0	0	0	397	392	393	373
54	T4	1	0	0	0	98	73	97	93
55	T4	1	0	0	0	206	181	182	186
56	T4	1	0	0	0	177	182	178	202
57	T4	1	0	0	0	131	151	132	127
58	T4	1	0	0	0	92	97	116	96
59	T4	1	0	0	0	102	106	82	107
60	T4	1	0	0	0	491	516	496	492
61	T4	1	0	0	0	472	473	448	468
62	T4	1	0	0	0	474	473	498	493
63	T4	1	0	0	0	220	219	244	239
64	T4	1	0	0	0	101	126	106	102
65	T4	1	0	0	0	344	348	349	368
66	T4	1	0	0	0	32	7	31	27
67	T4	1	0	0	0	289	269	293	288
68	T4	1	0	0	0	417	437	441	442
69	T4	1	0	0	0	107	131	132	127
70	T4	1	0	0	0	157	182	158	177
71	T4	1	0	0	0	263	262	238	243
72	T4	1	0	0	0	259	255	260	235
73	T4	1	0	0	0	382	357	381	377
74	T4	1	0	0	0	147	167	143	142
75	T4	1	0	0	0	206	182	187	186
76	T4	1	0	0	0	312	316	292	317
77	T4	1	0	0	0	364	389	369	365
78	T4	1	0	0	0	88	93	69	89
79	T4	1	0	0	0	168	148	143	144
80	T4	1	0	0	0	157	162	158	182
81	T4	1	0	0	0	208	184	204	209
82	T4	1	0	0	0	315	340	339	320
83	T4	1	0	0	0	54	59	55	79
